belike,42
device,42
she'll,42
tread,42
crave,42
maintain,42
leonato,42
fatal,42
alike,42
tempest,42
finds,42
monsieur,41
fairest,41
servingman,41
picture,41
substance,41
firm,41
favours,41
reign,41
friendship,41
sorrows,41
wish'd,41
sore,41
wrought,41
debt,41
pass'd,41
armour,41
fits,41
padua,41
conceit,41
solemn,41
deceiv'd,41
revolt,41
nobles,41
season,41
lartius,41
gaoler,41
pembroke,41
sly,41
moe,41
edge,41
practice,41
whore,41
sooth,40
wants,40
followed,40
barren,40
cinna,40
possess'd,40
figure,40
nature's,40
hill,40
cupid,40
henceforth,40
maids,40
bird,40
ripe,40
sends,40
elder,40
villainy,40
clothes,40
pair,40
drums,40
glorious,40
apart,40
displeasure,40
countrymen,40
bite,40
senate,40
y'are,40
commanded,40
fierce,40
grieve,40
milan,40
afraid,40
bounty,40
apparel,40
titania,40
purposes,40
lovell,40
whoreson,40
canterbury,40
mistake,40
complexion,40
dumb,40
ignorance,40
murtherer,40
hazard,40
violent,40
timon's,40
lean,40
dolabella,39
chair,39
sell,39
hateful,39
deserv'd,39
windsor,39
stain,39
cave,39
wears,39
acquainted,39
entertain,39
prey,39
dishonour,39
utter,39
prologue,39
surely,39
commit,39
impossible,39
pen,39
arm'd,39
stroke,39
hardly,39
vantage,39
affections,39
's,39
laws,39
crown'd,39
adam,39
aim,39
remains,39
thereof,39
dwell,39
willing,39
staff,39
add,39
habit,39
advise,39
fingers,39
object,39
east,39
proclaim,39
benefit,39
darkness,39
answer'd,39
beauteous,39
sentence,39
isle,39
sky,39
hanging,38
osw,38
douglas,38
modest,38
clock,38
books,38
virgilia,38
suspect,38
misery,38
wrong'd,38
appetite,38
store,38
all's,38
avoid,38
places,38
tut,38
arise,38
ladyship,38
infinite,38
perform,38
months,38
unnatural,38
rock,38
accuse,38
eternal,38
minister,38
sweat,38
twain,38
robin,38
stronger,38
wounded,38
pause,38
fairies,38
creatures,38
fairer,38
fathers,38
cell,38
sold,38
chaste,38
tame,37
stays,37
bell,37
amiss,37
babe,37
banish,37
slew,37
bora,37
earnest,37
special,37
entertainment,37
companion,37
bent,37
stage,37
feeble,37
rotten,37
marks,37
mess,37
peers,37
profit,37
deliver'd,37
abide,37
banishment,37
duncan,37
dignity,37
difference,37
ruin,37
unhappy,37
assur'd,37
hangs,37
heartily,37
ambitious,37
trade,37
